,Total students count,UG student % (Domestic),PG student % (Domestic),International students count,UG student % (International),PG student % (International),Total faculty staff count,Domestic staff %,International staff %
121,"26,602",79%,21%,"7,205",59%,41%,"2,671",70%,30%
122,"16,403",58%,42%,"5,949",34%,66%,"2,238",81%,19%
123,"15,102",40%,60%,"4,131",8%,92%,"2,767",79%,21%
124,"10,103",56%,44%,"2,641",31%,69%,"1,147",45%,55%
125,"22,463",71%,29%,"10,039",54%,46%,"2,305",52%,48%
126,"17,744",51%,49%,"6,871",38%,62%,"1,814",40%,60%
127,"24,749",67%,33%,"7,383",48%,52%,"2,998",54%,46%
128,"40,335",80%,20%,"8,034",56%,44%,"2,622",82%,18%
129,"17,093",70%,30%,"3,060",31%,69%,"2,837",82%,18%
130,"33,999",62%,38%,"5,535",40%,60%,"2,008",77%,23%
131,"33,767",63%,37%,"6,631",52%,48%,"2,769",67%,33%
132,"35,400",40%,60%,"2,513",59%,41%,"3,396",78%,22%
133,"44,156",46%,54%,"12,224",26%,74%,"3,165",84%,16%
134,"18,585",63%,37%,"2,305",15%,85%,"2,773",91%,9%
135,"8,632",42%,58%,"2,596",25%,75%,"1,057",36%,64%
136,"23,667",75%,25%,"9,664",57%,43%,"1,559",63%,37%
137,"10,873",51%,49%,"2,532",47%,53%,"1,210",43%,57%
138,"35,205",59%,41%,"7,525",21%,79%,"1,745",77%,23%
139,"55,381",79%,21%,"5,991",65%,35%,"6,191",82%,18%
140,"17,704",64%,36%,"1,984",14%,86%,"2,467",90%,10%
141,"19,731",60%,40%,"3,758",45%,55%,"2,019",74%,26%
142,"39,447",53%,47%,"4,993",22%,78%,"5,783",73%,27%
143,"18,570",61%,39%,"5,618",26%,74%,"2,329",87%,13%
144,"33,664",63%,37%,"10,529",62%,38%,"3,867",62%,38%
145,"16,362",75%,25%,"5,876",70%,30%,"1,442",62%,38%
146,"41,057",53%,47%,"11,877",39%,61%,"2,001",80%,20%
147,"10,364",62%,38%,"3,775",53%,47%,"1,687",72%,28%
148,"25,553",89%,11%,"3,774",77%,23%,"1,620",77%,23%
149,"20,706",77%,23%,"3,523",82%,18%,"4,273",85%,15%
150,"46,198",64%,36%,"14,970",55%,45%,"3,971",54%,46%
151,"27,216",86%,14%,"6,146",77%,23%,"4,052",53%,47%
152,"25,375",78%,22%,"7,800",72%,28%,"2,325",69%,31%
153,"35,088",87%,13%,"10,269",78%,22%,"1,908",70%,30%
154,"13,153",52%,48%,"2,043",52%,48%,"2,613",80%,20%
155,"3,874",13%,87%,59,12%,88%,452,92%,8%
156,"22,313",91%,9%,"4,432",62%,38%,"3,294",89%,11%
157,"20,951",61%,39%,"5,640",42%,58%,"2,702",81%,19%
158,"44,513",80%,20%,"4,934",62%,38%,"3,030",76%,24%
159,"7,255",83%,17%,928,38%,62%,"1,128",30%,70%
160,"28,173",55%,45%,"3,052",36%,64%,"2,639",66%,34%
161,"19,964",72%,28%,"5,988",42%,58%,"1,974",66%,34%
162,"27,710",78%,22%,"7,691",64%,36%,"2,571",63%,37%
163,"64,752",79%,21%,"6,522",37%,63%,"3,049",87%,13%
164,"37,081",78%,22%,"3,818",30%,70%,"3,651",88%,12%
165,"29,758",73%,27%,"7,978",45%,55%,"2,995",68%,32%
166,"73,000",55%,45%,"6,175",40%,60%,"2,913",95%,5%
167,"35,772",90%,10%,"1,916",38%,62%,"2,405",94%,6%
168,"22,545",47%,53%,"3,182",26%,74%,"4,615",74%,26%
169,"47,416",96%,4%,"3,458",92%,8%,"5,946",89%,11%
170,"71,824",55%,45%,"6,298",42%,58%,"3,258",98%,2%
171,"12,047",46%,54%,103,0%,100%,987,97%,3%
172,"29,752",77%,23%,"6,573",64%,36%,"1,312",49%,51%
173,"1,976",26%,74%,687,12%,88%,389,84%,16%
174,"10,111",44%,56%,127,1%,99%,896,98%,2%
175,"10,744",50%,50%,"2,575",44%,56%,"1,717",80%,20%
176,"13,227",61%,39%,"1,572",41%,59%,"1,266",90%,10%
177,"32,395",77%,23%,"3,971",34%,66%,"2,138",89%,11%
178,"11,256",57%,43%,"3,508",51%,49%,776,70%,30%
179,"16,711",80%,20%,"4,990",67%,33%,"1,320",58%,42%
180,"3,208",81%,19%,826,48%,52%,521,10%,90%
181,"22,484",72%,28%,"5,305",49%,51%,"1,852",55%,45%
182,"27,425",71%,29%,"2,695",31%,69%,"4,861",95%,5%
183,"44,366",81%,19%,"6,308",60%,40%,"3,076",91%,9%
184,"21,293",48%,52%,"6,007",37%,63%,"2,688",65%,35%
185,"33,764",66%,34%,"2,747",37%,63%,"5,058",95%,5%
186,"17,520",73%,27%,"4,463",31%,69%,"1,408",62%,38%
187,"47,381",68%,32%,"4,143",20%,80%,"6,249",90%,10%
188,"20,613",56%,44%,"3,731",38%,62%,"2,053",74%,26%
189,"33,073",76%,24%,"11,594",53%,47%,"1,749",38%,62%
190,"26,560",82%,18%,"8,272",70%,30%,"2,728",66%,34%
191,"11,455",89%,11%,"1,168",60%,40%,"1,093",51%,49%
192,"24,267",86%,14%,"4,570",59%,41%,"1,696",41%,59%
193,"55,605",55%,45%,"3,588",64%,36%,"3,868",82%,18%
194,"24,512",79%,21%,"7,656",60%,40%,"1,647",69%,31%
195,"27,556",51%,49%,"4,805",48%,52%,"1,308",65%,35%
196,"33,535",86%,14%,"3,101",57%,43%,"4,042",93%,7%
197,"3,740",47%,53%,339,45%,55%,548,84%,16%
198,"12,696",55%,45%,"1,932",53%,47%,"3,736",83%,17%
199,"31,058",25%,75%,"5,275",13%,87%,"4,766",82%,18%
200,"21,313",78%,22%,"3,369",60%,40%,"4,364",79%,21%
201,"13,268",54%,46%,"1,968",35%,65%,"1,528",88%,12%
202,"19,467",69%,31%,"5,468",36%,64%,"2,056",92%,8%
203,"14,457",59%,41%,"3,261",48%,52%,"1,467",51%,49%
204,"6,633",67%,33%,"1,061",44%,56%,832,96%,4%
205,"43,363",81%,19%,"7,208",49%,51%,"3,817",86%,14%
206,"11,918",44%,56%,832,20%,80%,"1,634",67%,33%
207,"30,817",63%,37%,"6,500",57%,43%,"2,713",68%,32%
208,"10,081",91%,9%,"3,643",83%,17%,"1,197",21%,79%
209,"28,076",57%,43%,886,11%,89%,"1,841",94%,6%
210,"29,267",51%,49%,"9,075",43%,57%,"1,077",58%,42%
211,"30,360",48%,52%,"5,095",57%,43%,"2,792",75%,25%
212,"12,421",60%,40%,"4,129",68%,32%,"1,222",55%,45%
213,"30,159",57%,43%,"4,875",50%,50%,"2,648",74%,26%
214,"29,316",71%,29%,"3,001",43%,57%,"2,894",94%,6%
215,"29,918",47%,53%,"3,999",22%,78%,"3,717",80%,20%
216,"27,175",60%,40%,"1,856",34%,66%,"3,024",94%,6%
217,"19,602",81%,19%,"3,222",61%,39%,"1,244",40%,60%
218,"49,502",85%,15%,"8,478",56%,44%,"2,856",74%,26%
219,"15,312",86%,14%,209,70%,30%,"1,201",85%,15%
220,"12,686",73%,27%,"5,020",62%,38%,"1,205",61%,39%
221,"35,202",85%,15%,"6,403",58%,42%,"1,986",57%,43%
222,"17,044",63%,37%,"1,089",37%,63%,"2,396",76%,24%
223,"33,577",76%,24%,911,15%,85%,"3,384",94%,6%
224,"21,260",56%,44%,"2,900",56%,44%,"2,168",86%,14%
225,"58,159",83%,17%,"6,034",67%,33%,"4,778",96%,4%
226,"6,514",66%,34%,77,70%,30%,"1,206",83%,17%
227,"28,860",70%,30%,"3,626",47%,53%,"2,032",81%,19%
228,"16,324",75%,25%,"4,896",65%,35%,"1,312",62%,38%
229,"16,222",37%,63%,"3,977",47%,53%,"3,909",77%,23%
230,"39,209",74%,26%,680,69%,31%,"4,802",83%,17%
231,"23,362",58%,42%,"2,800",54%,46%,"2,037",72%,28%
232,"21,856",76%,24%,"10,010",62%,38%,"2,001",53%,47%
233,"12,648",82%,18%,"1,633",34%,66%,785,74%,26%
234,"22,700",63%,37%,703,63%,37%,"2,983",61%,39%
235,"35,562",81%,19%,"8,959",74%,26%,"2,811",73%,27%
236,"30,006",90%,10%,"3,977",72%,28%,"3,630",51%,49%
237,"21,005",72%,28%,"3,204",50%,50%,"1,503",76%,24%
238,"38,366",78%,22%,"9,845",73%,27%,"1,722",64%,36%
239,"2,695",48%,52%,"1,864",44%,56%,403,23%,77%
240,"17,943",79%,21%,"6,174",69%,31%,"1,321",58%,42%
241,"33,630",81%,19%,"7,176",66%,34%,"2,717",70%,30%
242,"58,478",86%,14%,579,77%,23%,"3,022",95%,5%
243,"12,617",70%,30%,"1,315",37%,63%,"1,535",88%,12%
244,"46,722",58%,42%,"2,986",38%,62%,"2,828",93%,7%
245,"25,409",80%,20%,"4,093",67%,33%,"1,311",73%,27%
246,"4,897",53%,47%,367,48%,52%,485,%,%
247,"36,053",69%,31%,"1,652",72%,28%,"4,799",73%,27%
248,"62,747",50%,50%,"11,825",39%,61%,"3,673",89%,11%
249,"10,251",43%,57%,71,61%,39%,907,98%,2%
