,World Rank,University Name,City,Country,Overall Score,Academic Reputation,Employer Reputation,Citations per Faculty,Faculty Students Ratio,International Students Ratio,International Faculty Ratio,International Research Network,Employment Outcomes,Total students count,UG student % (Domestic),PG student % (Domestic),International students count,UG student % (International),PG student % (International),Total faculty staff count,Domestic staff %,International staff %
1189,1001-1200,Università degli Studi della Tuscia (University of Tuscia),Viterbo,Italy,0.0,3.0,1.1,31.2,6.6,5.1,11.4,42.2,5.1,6434,73.0,27.0,316,65.0,35.0,340,93.0,7.0
1190,1001-1200,Università degli Studi di Udine,Udine,Italy,0.0,6.5,3.2,22.4,9.7,4.3,5.5,50.0,4.0,12417,68.0,32.0,532,65.0,35.0,763,96.0,4.0
1191,1001-1200,Universität Siegen,Siegen,Germany,0.0,4.1,2.1,5.5,11.2,20.7,40.2,40.2,9.7,18095,75.0,25.0,2249,47.0,53.0,1204,82.0,18.0
1192,1001-1200,Université Lumière Lyon 2,Lyon,France,0.0,11.2,2.0,5.5,7.4,32.7,29.7,60.1,5.2,25365,70.0,30.0,4573,59.0,41.0,972,86.0,14.0
1193,1001-1200,Université Toulouse 1 Capitole,Toulouse,France,0.0,13.2,3.3,2.5,1.6,54.9,31.3,10.0,5.4,21130,74.0,26.0,3603,43.0,57.0,469,85.0,15.0
1194,1001-1200,Université de Poitiers,Poitiers,France,0.0,8.0,2.5,7.4,5.3,31.3,0.0,67.8,7.8,26929,,,4200,,,1314,,
1195,1001-1200,Université Toulouse - Jean Jaurès,Toulouse,France,0.0,10.1,2.2,4.4,1.3,23.5,30.3,45.1,5.0,30000,,,4000,,,514,85.0,15.0
1196,1001-1200,Utah State University,Logan,United States,0.0,6.4,3.8,23.6,6.8,1.7,0.0,51.9,9.6,20106,91.0,9.0,240,59.0,41.0,1085,,
1197,1001-1200,Vancouver Island University,Nanaimo,Canada,0.0,5.2,4.6,0.0,29.8,0.0,0.0,0.0,5.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1198,1001-1200,Vellore Institute of Technology (VIT),Vellore,India,0.0,9.3,9.2,15.9,7.8,2.5,15.4,62.6,18.2,39068,77.0,23.0,916,93.0,7.0,2186,91.0,9.0
1199,1001-1200,Voronezh State University,Voronezh,Russia,0.0,5.6,2.3,1.3,24.5,32.7,4.1,6.9,3.3,15692,83.0,17.0,2505,83.0,17.0,1332,97.0,3.0
1200,1001-1200,Warsaw University of Life Sciences SGGW (WULS-SGGW),Warsaw,Poland,0.0,7.3,7.2,5.4,21.9,8.7,2.7,53.8,4.8,16339,83.0,17.0,1147,89.0,11.0,1277,98.0,2.0
1201,1001-1200,West Virginia University,Morgantown,United States,0.0,6.0,7.4,22.5,11.9,6.1,6.0,56.8,18.7,23774,80.0,20.0,1350,54.0,46.0,1573,96.0,4.0
1202,1001-1200,Western Michigan University,Kalamazoo,United States,0.0,5.7,6.6,6.2,11.5,10.8,29.4,41.5,19.6,13314,85.0,15.0,1127,61.0,39.0,965,84.0,16.0
1203,1001-1200,Xi'an Jiaotong Liverpool University,Suzhou,China,0.0,3.9,2.0,6.4,7.2,6.6,99.1,31.2,2.7,16152,88.0,12.0,978,83.0,17.0,823,56.0,44.0
1204,1001-1200,Yildiz Technical University,Istanbul,Turkey,0.0,6.7,15.0,5.9,6.7,15.3,4.6,39.0,4.2,25532,79.0,21.0,2818,77.0,23.0,1550,97.0,3.0
1205,1201-1400,Don State Technical University,Rostov-on-Don,Russia,0.0,3.7,3.6,1.4,12.7,15.7,1.6,12.2,3.4,26390,78.0,22.0,2803,70.0,30.0,1877,99.0,1.0
1206,1201-1400,Akdeniz Üniversitesi,Antalya,Turkey,0.0,4.3,3.5,2.9,3.8,1.1,1.2,26.2,3.7,41093,,,103,,,1714,100.0,0.0
1207,1201-1400,Al-Azhar University,Cairo,Egypt,0.0,9.5,5.0,1.3,10.5,7.9,1.1,45.7,9.3,299054,88.0,12.0,20664,96.0,4.0,18933,100.0,0.0
1208,1201-1400,Al-Balqa Applied University,As-Salt,Jordan,0.0,3.8,5.6,2.3,5.3,2.4,4.1,23.3,13.1,28178,96.0,4.0,425,99.0,1.0,1389,97.0,3.0
1209,1201-1400,Alexandru Ioan Cuza University,Iași,Romania,0.0,7.1,7.0,3.2,5.2,11.0,4.3,26.5,8.6,23448,73.0,27.0,2016,72.0,28.0,1127,97.0,3.0
1210,1201-1400,Anadolu University,Eskisehir,Turkey,0.0,3.2,4.7,3.4,15.5,3.5,2.0,15.6,9.1,20993,79.0,21.0,730,54.0,46.0,1509,99.0,1.0
1211,1201-1400,Aoyama Gakuin University,Tokyo,Japan,0.0,5.8,12.9,2.3,5.9,3.0,17.8,10.3,8.8,19692,94.0,6.0,578,56.0,44.0,1000,90.0,10.0
1212,1201-1400,Bahauddin Zakariya University,Multan,Pakistan,0.0,4.8,6.3,9.6,1.9,1.0,0.0,29.6,10.8,30862,85.0,15.0,10,100.0,0.0,820,,
1213,1201-1400,Birzeit university,Birzeit,Palestinian Territories,0.0,5.1,11.8,2.5,5.3,4.8,15.7,22.1,44.7,11900,94.0,6.0,563,90.0,10.0,580,91.0,9.0
1214,1201-1400,British University in Egypt,El Shorouk,Egypt,0.0,4.5,3.5,2.0,20.7,2.9,2.9,9.6,7.5,10539,99.0,1.0,302,98.0,2.0,938,98.0,2.0
1215,1201-1400,California Polytechnic State University,San Luis Obispo,United States,0.0,3.1,10.8,3.8,7.7,0.0,0.0,27.6,26.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1216,1201-1400,California State University - Los Angeles,Los Angeles,United States,0.0,4.4,2.5,3.4,3.8,6.8,5.2,7.1,5.3,23544,87.0,13.0,1465,82.0,18.0,981,96.0,4.0
1217,1201-1400,Universidad Catolica de Cordoba,Córdoba,Argentina,0.0,4.4,2.5,1.2,17.9,3.6,4.4,3.3,7.3,10751,81.0,19.0,387,94.0,6.0,771,97.0,3.0
1218,1201-1400,Central Michigan University,Mount Pleasant,United States,0.0,3.3,6.6,7.6,7.5,2.7,4.0,18.9,13.1,14338,82.0,18.0,368,45.0,55.0,803,97.0,3.0
1219,1201-1400,China University of Political Science and Law,Beijing,China,0.0,3.9,16.7,1.1,11.6,2.1,6.8,6.0,3.1,17222,56.0,44.0,195,45.0,55.0,1038,97.0,3.0
1220,1201-1400,Chung Yuan Christian University,Taoyuan City,Taiwan,0.0,4.4,5.1,14.2,4.8,9.7,5.5,17.4,20.4,15782,86.0,14.0,1246,81.0,19.0,735,96.0,4.0
